entrée	James EN	James FR
Alunsel	1	1
Alusar	1	1
Alusia	1	1
Aluta	1	1
Aluta aegyptia	1	
Alvearium	1	1
Alveoli	1	1
Alveus	1	1
Alviduca	1	
Alviduca medicamenta		1
Alvus	3	4
Alyce	1	1
Alypum	1	1
Alysmos	1	1
Alyssoides	1	1
Alyssum	2	2
Alzegi	1	1
Alzemafor	1	1
Alzilat	1	1
Alzimar	1	1
Alzofar	1	1
Ama, Ame		1
Ama, Ame, Ames	1	
Amalgama	1	1
Amalgamatio	1	1
Amamelis	1	1
Amandinus lapis	1	1
Amanita	5	7
Amara	1	1
Amara-dulcis	1	1
Amaracus	4	6
Amaranthus	1	1
Amarantoides	1	1
Amarella	1	1
Amatoria	1	
Amatoria febris		1
Amatoria veneficia		1
Amatorii	1	
Amatorii musculi		1
Amatzquitl	1	1
Amaurosis	9	12
Amazonum pastillus	1	1
Amba	1	1
Ambaiba	1	1
Ambaitinga	1	1
Ambalam	1	1
Ambapaia	1	1
Ambare	1	1
Ambarvalis	1	1
Ambe	1	1
Ambela	1	1
Amberboi	1	1
Ambia Monard	1	
Ambia monard		1
Ambidexter	1	1
Amblosis	1	1
Amblyogmos	1	1
Amblyopia	1	1
Ambon	1	1
Ambra	11	15
Ambrosia	1	
Ambulatio	1	1
Ambulo	1	1
Ambulon	1	1
Ambusta	2	3
Amedanus	1	1
Amelanchier	1	1
Amellus	1	1
Amelpodi	1	1
Amene	1	1
Amenenos	1	1
Amentia	1	1
Amentum	1	1
Ameri	1	1
Amethodicum	1	1
Amethysta pharmaca	1	1
Amethystus	1	1
Ametria	1	1
Amia	1	1
Amiantus	2	3
Amiculum	1	1
Amidum	1	1
Aminaeum acetum	1	1
Aminaeum vinum	1	1
Aminia	1	1
Amma	1	1
Ammi	1	1
Ammion	1	1
Ammites, Ammonites	1	1
Ammochosia	1	1
Ammochrisos		1
Ammochrysos	1	1
Ammochrysus	1	1
Ammodites	1	1
Ammoniacum	10	14
Ammonii collyrium	1	1
Ammonis cornu	1	1
Ammonitrum	1	1
Ammonius	1	1
Amna Alcalizata	1	
Amna alcalizata		1
Amnios	4	6
Amnis	1	1
Amoie	1	1
Amolynton	1	1
Amomi	1	1
Amomis	1	1
Amomum	4	5
Amongabriel	1	1
Amongeaba	1	1
Amor	1	1
Amorge	1	1
Amoris poma		1
Amoris pomum	1	1
Ampana	1	1
Ampar	1	1
Ampelion	1	1
Ampelis	1	1
Ampelites terra	1	1
Ampelitis		1
Ampeloprason	1	1
Ampelos	1	1
Ampharisteros	1	1
Amphemerinos	1	1
Amphiblestroides	1	1
Amphibranchia	1	1
Amphicaustis	1	1
Amphideon	1	1
Amphidexios	1	1
Amphimetrion	1	1
Amphiplex	1	1
Amphipneuma	1	1
Amphipolos	1	1
Amphisbaena	1	1
Amphismila	1	1
Amphisphalsis	1	1
Amphitane	1	1
Amphodonta	1	1
